coreproject,pmid,applid
K23RR015534,9357955,6754466
R01AA010433,8683340,2000424
R01AA010433,11899071,2000424
K23RR015534,9194907,6754466
R01AA012014,11899071,6168705
R29AA009722,10235309,2894054
R41AA011038,10235309,2000664
R41AA011038,11839462,2000664
R42AA011038,11839462,6345826
R43AA011483,11706815,2001040
K07AG000532,8240294,2001087
K07AG000532,10082127,2001087
K07AG000532,8482337,2001087
K07AG000532,9520905,2001087
R01AG011060,9536009,2390051
R01AG011060,9140818,2390051
K07AG000532,9666204,2001087
K07AG000532,7952516,2001087
K07AG000532,10972981,2001087
K07AG000532,8666166,2001087
R37DK021365,8602704,2137553
K07AG000532,12599204,2001087
K07AG000532,8809783,2001087
K07AG000532,9140818,2001087
K07AG000532,9553632,2001087
R01AI025751,7692814,3139316
R29CA068923,10972981,6189704
K07AG000532,8896802,2001087
F05TW005271,8896802,2293359
K07AG000532,8940301,2001087
K07AG000532,9536009,2001087
P30AG013282,9666204,6130649
K07AG000532,8602704,2001087
T32MH019129,7692814,2243767
K07AG000532,7692814,2001087
K07AG000532,9597003,2001087
K07AG000532,8840965,2001087
P01AG014669,8018656,6169549
P01AG000541,8020988,2001088
R37AG008707,9476670,2607645
R01AG008092,7519641,3119498
R29AI030165,7519641,2065488
P01AG014669,7577801,6169549
P01AG014669,3354639,6169549
P01AG000541,3377505,2001088
P01AG000541,3421960,2001088
P01AG000541,1660526,2001088
R29AG006854,2638530,3453062
P50AI019080,2697632,3105029
P01AG000541,2919179,2001088
P01AG004860,2952722,2048916
P01AG014669,2952722,6169549
R29AI022645,2952722,2061923
R01GM036716,2088488,2178497
P01AG000541,2088488,2001088
S10RR002855,2106685,3519482
P01AG014669,2457448,6169549
R01AI022901,2445824,3134569
R01CA038407,2457448,3176537
P01AG014669,2776490,6169549
R01AI022901,2776490,3134569
P01AG000541,2776490,2001088
P01AG014669,9786438,6169549
P01AG014669,10092786,6169549
P01AG000541,9725218,2001088
P01AG014669,9725218,6169549
P01AG000541,10080102,2001088
P01AG000541,9692848,2001088
R01AI034773,9714299,2069943
P01AG000541,8381389,2001088
R01CA042046,8381389,3182817
P01AG000541,8325346,2001088
R37AG008707,8757946,2607645
P01AG000541,7916742,2001088
P01AG014669,7960964,6169549
P01AG000541,7960964,2001088
P01AG014669,8671625,6169549
R01AG004980,8671625,6029737
P50HL018828,8469035,2215189
P01AG014669,6692481,6169549
R01AI011694,6775820,3125002
P01AG014669,6799192,6169549
P01AG000541,6572374,2001088
P01AG000541,6970755,2001088
P01AG014669,6984221,6169549
R01AG003417,6984221,2048757
R01AI011694,7007062,3125002
P01CA022507,7009651,2087060
P01AG014669,7009651,6169549
P01AG014669,7294025,6169549
R01AG003417,7049404,2048757
P01AG014669,7451974,6169549
R01CA018608,7458939,3164985
P01AG000541,7458939,2001088
P01AG014669,6385725,6169549
P01AG014669,6162648,6169549
P01AG014669,6206498,6169549
P01AG000541,6210740,2001088
P01AG000541,6212541,2001088
P01CA022507,6212541,2087060
P01AG014669,6214846,6169549
P01AG000541,6219126,2001088
P01AG014669,6231715,6169549
P01AG014669,3474615,6169549
P01AG014669,3255670,6169549
R01AI011694,3257573,3125002
P01AG000541,3257573,2001088
P01AG000541,3288041,2001088
R01HL035724,3335829,3349923
P01AG014669,6447730,6169549
R01AG000842,6447730,3114129
P01AG014669,6456817,6169549
P01AG000541,6456817,2001088
P30CA008748,6458039,10953710
P01AG000541,6775820,2001088
R01AG004361,6235371,3115118
P01AG014669,2184192,6169549
P01AG000541,2184192,2001088
P01AG014669,2257557,6169549
P01AG000541,1483960,2001088
P01AG000541,1357540,2001088
F05TW004552,1308994,3022199
P01AG014669,1308994,6169549
R37AG008707,1422890,2607645
P01AG014669,1423641,6169549
R01AI021357,1423641,3131384
P01HL037407,1423641,3098565
P01AG014669,1425923,6169549
P01AG000541,1425923,2001088
P01AG000541,1451325,2001088
R01AG008092,1284886,3119498
P01AG000541,2036680,2001088
R01GM034107,1862085,9675282
P01AG014669,9089565,6169549
P01AG000541,9127016,2001088
M01RR006020,9127016,6614434
P01AG000541,7046951,2001088
P01AG000541,3815540,2001088
P01AG014669,3815540,6169549
P50AI019080,3872329,3105029
P01AG014669,3888917,6169549
R01AG004042,3896524,3114902
P01AG014669,3915771,6169549
R01CA026344,3926880,3167259
P01AG000541,3926880,2001088
P01AG014669,3926880,6169549
R01AG004042,3489534,3114902
P01AG014669,3495326,6169549
P01AG014669,3531331,6169549
P01AG000541,3915771,2001088
P01AG000541,6159114,2001088
P01AG000541,3990698,2001088
P01AG014669,2919179,6169549
P30CA008748,2919179,10953710
P01AG014669,2452703,6169549
R01AI031140,1660526,2066154
P01AG014669,1660526,6169549
P01AG014669,3157751,6169549
P50HL018828,3354639,2215189
P01AG014669,3377505,6169549
P01AG014669,3421960,6169549
R01AI022901,3421960,3134569
